{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9453 0.5401 0.0
-3.8390 -3.4890 5 10 6500 0.9899 0.2572 0.0
-3.4890 -3.1390 5 10 6500 1.0144 0.3224 0.0
-3.1390 -2.9640 5 10 6500 1.0015 0.4537 0.0
-2.9640 -2.8530 5 10 6500 0.8870 -0.0881 0.0
-2.8530 -2.6500 5 10 6500 0.8898 0.0942 0.0
-2.6500 -2.5000 5 10 6500 0.9096 0.1117 0.0
-2.5000 -2.3220 5 10 6500 0.9239 0.1131 0.0
-2.3220 -2.1720 5 10 6500 0.9310 0.1535 0.0
-2.1720 -1.9300 5 10 6500 0.9601 0.1376 0.0
-1.9300 -1.6530 5 10 6500 0.9591 0.1009 0.0
-1.6530 -1.4790 5 10 6500 0.9583 0.0901 0.0
-1.4790 -1.3050 5 10 6500 0.9741 0.0885 0.0
-1.3050 -1.0440 5 10 6500 0.9740 0.0105 0.0
-1.0440 -0.7830 5 10 6500 0.9851 0.0345 0.0
-0.7830 -0.5220 5 10 6500 0.9833 0.0489 0.0
-0.5220 -0.2610 5 10 6500 0.9830 0.0510 0.0
-0.2610 -0.0000 5 10 6500 0.9845 0.0668 0.0
0.0000 0.2610 5 10 6500 0.9845 0.0668 0.0
0.2610 0.5220 5 10 6500 0.9830 0.0510 0.0
0.5220 0.7830 5 10 6500 0.9833 0.0489 0.0
0.7830 1.0440 5 10 6500 0.9851 0.0345 0.0
1.0440 1.3050 5 10 6500 0.9740 0.0105 0.0
1.3050 1.4790 5 10 6500 0.9741 0.0885 0.0
1.4790 1.6530 5 10 6500 0.9583 0.0901 0.0
1.6530 1.9300 5 10 6500 0.9591 0.1009 0.0
1.9300 2.1720 5 10 6500 0.9601 0.1376 0.0
2.1720 2.3220 5 10 6500 0.9310 0.1535 0.0
2.3220 2.5000 5 10 6500 0.9239 0.1131 0.0
2.5000 2.6500 5 10 6500 0.9096 0.1117 0.0
2.6500 2.8530 5 10 6500 0.8898 0.0942 0.0
2.8530 2.9640 5 10 6500 0.8870 -0.0881 0.0
2.9640 3.1390 5 10 6500 1.0015 0.4537 0.0
3.1390 3.4890 5 10 6500 1.0144 0.3224 0.0
3.4890 3.8390 5 10 6500 0.9899 0.2572 0.0
3.8390 5.1910 5 10 6500 0.9453 0.5401 0.0
